名称,经度,纬度,所属区县,行政区划代码,级别
八庙镇,107.913785,30.918565,开江县,511723,street
灵岩镇,107.977251,31.196791,开江县,511723,street
桃花镇,107.955130,31.480754,宣汉县,511722,street
石铁乡,108.099267,31.751202,宣汉县,511722,street
华景镇,108.104058,31.561272,宣汉县,511722,street
毛坝镇,107.749180,31.615451,宣汉县,511722,street
大成镇,107.558691,31.424846,宣汉县,511722,street
黄石乡,107.892694,31.388198,宣汉县,511722,street
老君乡,107.850308,31.514216,宣汉县,511722,street
芭蕉镇,107.869323,31.284145,宣汉县,511722,street
五宝镇,108.062990,31.477050,宣汉县,511722,street
渡口土家族乡,108.285415,31.664513,宣汉县,511722,street
峰城镇,107.956094,31.481515,宣汉县,511722,street
下八镇,107.934038,31.355846,宣汉县,511722,street
厂溪镇,107.948272,31.686582,宣汉县,511722,street
清溪镇,107.792071,31.415139,宣汉县,511722,street
新华镇,107.994594,31.739576,宣汉县,511722,street
樊哙镇,108.246289,31.635397,宣汉县,511722,street
白马镇,108.098518,31.623465,宣汉县,511722,street
南坪镇,107.964139,31.602092,宣汉县,511722,street
普光镇,107.708737,31.504251,宣汉县,511722,street
黄金镇,107.849845,31.607142,宣汉县,511722,street
君塘镇,107.629225,31.339487,宣汉县,511722,street
东乡街道,107.725367,31.354246,宣汉县,511722,street
蒲江街道,107.711881,31.362787,宣汉县,511722,street
柏树镇,107.653829,31.163978,宣汉县,511722,street
庙安镇,107.638575,31.240653,宣汉县,511722,street
南坝镇,108.005914,31.358845,宣汉县,511722,street
红峰镇,107.626512,31.684639,宣汉县,511722,street
胡家镇,107.666285,31.560335,宣汉县,511722,street
天生镇,107.752983,31.257788,宣汉县,511722,street
马渡关镇,107.481080,31.595353,宣汉县,511722,street
塔河镇,108.074450,31.351670,宣汉县,511722,street
土黄镇,108.195121,31.586505,宣汉县,511722,street
上峡镇,108.024139,31.301981,宣汉县,511722,street
三墩土家族乡,108.313591,31.615585,宣汉县,511722,street
龙泉土家族乡,108.285415,31.664513,宣汉县,511722,street
漆树土家族乡,108.285415,31.664513,宣汉县,511722,street
茶河镇,108.062908,31.374234,宣汉县,511722,street
龙凤镇,106.755759,30.938577,渠县,511725,street
报恩乡,107.134144,31.187633,渠县,511725,street
琅琊镇,106.959459,30.695288,渠县,511725,street
三板镇,106.961374,30.996846,渠县,511725,street
安北乡,107.038724,31.148075,渠县,511725,street
望溪镇,106.944718,30.647351,渠县,511725,street
拱市乡,106.764047,30.873941,渠县,511725,street
文崇镇,107.166023,31.153671,渠县,511725,street
定远镇,106.791018,30.801988,渠县,511725,street
卷硐镇,107.053999,30.761592,渠县,511725,street
丰乐镇,107.136781,31.106844,渠县,511725,street
李渡镇,106.964716,30.777590,渠县,511725,street
李馥镇,107.012036,30.944996,渠县,511725,street
鲜渡镇,106.896503,30.758836,渠县,511725,street
渠江街道,106.971782,30.838059,渠县,511725,street
青龙镇,106.919092,30.888177,渠县,511725,street
清溪场镇,106.827981,30.892694,渠县,511725,street
渠北镇,106.963688,30.876893,渠县,511725,street
东安镇,107.093745,30.960905,渠县,511725,street
涌兴镇,107.077411,31.124230,渠县,511725,street
天星街道,106.980606,30.835038,渠县,511725,street
三汇镇,107.138278,31.029661,渠县,511725,street
有庆镇,106.838522,30.804417,渠县,511725,street
万寿镇,106.941963,30.928914,渠县,511725,street
新市镇,106.697042,30.845795,渠县,511725,street
渠南街道,106.965317,30.832584,渠县,511725,street
合力镇,107.010545,30.761962,渠县,511725,street
宝城镇,106.765051,30.838877,渠县,511725,street
中滩镇,106.893713,30.795220,渠县,511725,street
岩峰镇,106.971995,31.057825,渠县,511725,street
静边镇,106.838272,31.010407,渠县,511725,street
土溪镇,107.054012,31.016189,渠县,511725,street
临巴镇,107.063931,30.891699,渠县,511725,street
望江乡,106.875222,30.911220,渠县,511725,street
巨光乡,106.902698,31.027981,渠县,511725,street
大义乡,107.041824,31.194748,渠县,511725,street
贵福镇,106.985337,31.129490,渠县,511725,street
